ID,DayofMonth,Weekday,Month,Social_Network_Ref_links,Online_Ad_Paid_ref_links,Clicks_From_Serach_Engine,Special_Discount,Holiday,Server_Down_time_Sec,Web_UI_Score,Sales
1,1,2,1,1243,1704,1255,0,0,28,83,23291
2,2,3,1,765,1827,1260,0,0,9,87,25523
3,3,4,1,500,2200,1830,0,0,2,81,25620
4,4,5,1,373,1562,1336,0,0,11,77,19625
5,5,6,1,343,1810,1465,0,0,2,73,27231
6,6,7,1,1106,1260,913,0,0,0,81,28506
7,7,1,1,375,2025,1673,0,0,4,67,22899
8,8,2,1,1263,1527,963,1,0,0,68,33300
9,9,3,1,498,2202,1827,0,0,18,88,24770
10,10,4,1,555,1477,969,0,0,5,99,22390
11,11,5,1,680,2442,2197,1,0,7,74,31584
12,12,6,1,437,1438,1312,0,0,0,64,25746
13,13,7,1,681,1172,843,0,0,0,66,24109
14,14,1,1,554,1729,1615,0,0,2,66,22558
15,15,2,1,782,2648,2466,1,0,3,66,36961
16,16,3,1,1298,1768,1267,1,0,8,91,33781
17,17,4,1,429,1597,1196,0,0,0,66,21810
18,18,5,1,1088,1323,1222,0,0,8,96,23730
19,19,6,1,996,2543,2245,0,0,3,85,37050
20,20,7,1,1210,2004,1752,0,0,0,82,33212
21,21,1,1,1163,2543,2199,1,0,30,72,31200
22,22,2,1,975,1265,1073,0,0,0,72,23826
23,23,3,1,345,2159,1885,0,0,23,89,22632
24,24,4,1,942,1664,1229,0,0,30,80,21556
25,25,5,1,559,1447,997,0,0,3,76,23548
26,26,6,1,702,2193,1889,0,0,25,89,29320
27,27,7,1,547,1744,1183,0,0,0,71,31194
28,28,1,1,687,2203,1660,0,0,9,65,27144
29,29,2,1,722,1562,1106,0,0,0,72,24447
30,30,3,1,1150,1953,1606,0,0,0,68,30015
31,31,4,1,715,1189,595,0,0,24,65,20371
32,1,5,2,1256,1178,849,0,0,0,99,26006
33,2,6,2,1100,1654,1122,0,0,23,91,27683
34,3,7,2,398,2441,2193,0,0,8,63,31440
35,4,1,2,1364,1897,1475,0,0,20,91,27410
36,5,2,2,1384,1416,871,0,0,0,67,26510
37,6,3,2,907,2041,1770,0,0,5,76,27967
38,7,4,2,598,1999,1466,0,0,10,64,24579
39,8,5,2,956,1790,1257,1,0,22,82,31022
40,9,6,2,380,1303,815,0,0,0,88,25702
41,10,7,2,734,2405,1873,1,0,7,82,38224
42,11,1,2,1192,1788,1596,0,0,22,67,26977
43,12,2,2,481,2127,1849,1,0,7,97,29570
44,13,3,2,1373,1355,830,0,0,3,93,27046
45,14,4,2,445,2488,2278,0,0,12,86,27752
46,15,5,2,642,1279,704,0,0,16,96,20225
47,16,6,2,894,1205,721,0,0,0,79,28846
48,17,7,2,851,1865,1570,0,0,0,66,32495
49,18,1,2,445,2494,1980,1,0,4,70,31424
50,19,2,2,548,2541,2116,0,0,28,66,24545
51,20,3,2,588,2510,2271,0,0,10,98,27794
52,21,4,2,815,1259,1088,0,0,3,95,23211
53,22,5,2,1400,2091,1914,1,0,0,87,34792
54,23,6,2,715,2065,1928,1,0,11,64,36277
55,24,7,2,363,1604,1134,0,0,27,89,22197
56,25,1,2,643,2190,1989,0,0,18,88,26098
57,26,2,2,1097,1478,1250,0,0,18,92,26113
58,27,3,2,450,1393,958,0,0,0,69,22507
59,28,4,2,855,1249,686,0,0,0,86,24482
60,1,5,3,1097,2082,1818,0,0,0,88,28735
61,2,6,3,522,2217,2040,1,0,13,64,34090
62,3,7,3,727,1170,622,0,0,0,73,27018
63,4,1,3,1235,2551,2239,1,1,11,93,40966
64,5,2,3,1065,1684,1163,0,0,23,99,25106
65,6,3,3,534,2144,1682,0,0,22,81,23686
66,7,4,3,664,2243,2077,0,0,5,89,27368
67,8,5,3,396,1890,1601,0,0,3,96,23059
68,9,6,3,1025,1187,1022,0,0,20,94,26002
69,10,7,3,1182,1495,1151,0,0,26,96,27791
70,11,1,3,678,2623,2155,0,0,1,76,30892
71,12,2,3,573,1813,1387,0,0,19,63,21959
72,13,3,3,1038,2606,2363,0,0,14,67,31586
73,14,4,3,1042,1421,1223,1,0,21,95,26769
74,15,5,3,1162,1267,750,0,0,16,89,23997
75,16,6,3,308,1158,859,0,0,0,84,24147
76,17,7,3,426,2104,1895,0,0,0,98,31152
77,18,1,3,574,2315,1985,0,0,23,98,24461
78,19,2,3,860,1439,941,0,0,3,91,25221
79,20,3,3,1216,1370,1114,0,0,0,97,26519
80,21,4,3,1255,1149,1014,0,0,26,72,21733
81,22,5,3,648,1104,916,1,0,15,68,26371
82,23,6,3,952,1479,982,0,0,8,80,29284
83,24,7,3,582,2475,2343,0,0,0,66,33253
84,25,1,3,1264,2275,2112,0,0,21,81,30187
85,26,2,3,467,1362,989,0,0,0,65,22000
86,27,3,3,692,2312,1958,0,0,0,79,29539
87,28,4,3,749,1803,1499,0,0,17,90,24682
88,29,5,3,968,1542,1211,0,0,3,87,27369
89,30,6,3,651,2080,1810,0,0,3,78,32450
90,31,7,3,585,2460,2186,0,0,21,66,33031
91,1,1,4,648,2445,2083,0,0,28,72,25347
92,2,2,4,623,2541,2310,0,0,0,75,28422
93,3,3,4,636,1360,976,0,0,8,70,22665
94,4,4,4,1052,2643,2337,0,0,3,79,33164
95,5,5,4,1249,1695,1518,1,0,17,65,30123
96,6,6,4,499,1333,1221,0,0,0,60,25811
97,7,7,4,562,2271,2060,0,0,0,69,30927
98,8,1,4,1374,2151,1606,0,0,17,93,30559
99,9,2,4,665,1624,1127,1,0,0,68,28541
100,10,3,4,821,1643,1053,0,0,4,69,24969
101,11,4,4,942,1295,896,0,0,0,69,25058
102,12,5,4,900,2590,2354,0,0,14,62,30940
103,13,6,4,395,2087,1739,1,1,12,87,64042
104,14,7,4,363,1855,1659,0,0,18,60,28321
105,15,1,4,1161,2409,1953,0,0,2,94,31877
106,16,2,4,510,1683,1089,0,0,27,65,20381
107,17,3,4,1380,1314,921,0,0,29,92,22950
108,18,4,4,1365,2677,2543,0,0,15,74,35354
109,19,5,4,602,1385,1224,0,0,12,60,21855
110,20,6,4,996,1342,1072,1,0,14,90,31927
111,21,7,4,1225,1968,1640,0,0,13,87,35169
112,22,1,4,547,2347,1790,0,0,0,84,28621
113,23,2,4,631,2602,2296,0,0,2,68,29122
114,24,3,4,1257,1202,706,0,0,18,63,24297
115,25,4,4,1315,2459,2255,0,0,20,97,32892
116,26,5,4,1106,2147,1645,0,0,7,60,31096
117,27,6,4,421,1594,1079,0,0,22,95,25892
118,28,7,4,1000,1278,912,0,0,16,76,31601
119,29,1,4,981,2156,1670,0,0,0,75,31154
120,30,2,4,521,1588,1383,0,0,22,81,21439
121,1,3,5,569,1771,1436,0,0,0,90,23635
122,2,4,5,1354,1135,557,0,0,25,67,22713
123,3,5,5,1371,1973,1425,0,0,14,71,30609
124,4,6,5,1092,1668,1222,0,0,0,77,31879
125,5,7,5,1336,2634,2163,0,0,29,77,36856
126,6,1,5,1079,1880,1651,0,0,16,72,28296
127,7,2,5,889,1964,1660,0,0,2,91,27060
128,8,3,5,1026,2209,2013,0,0,0,70,30059
129,9,4,5,560,2497,1955,0,0,0,82,29038
130,10,5,5,1095,1545,1163,0,0,0,77,26620
131,11,6,5,887,2122,2014,1,0,10,95,37143
132,12,7,5,435,1808,1431,0,0,0,72,27593
133,13,1,5,1346,1415,994,0,0,20,100,26671
134,14,2,5,301,2138,1662,0,0,28,62,21760
135,15,3,5,1082,1681,1301,0,0,14,67,26345
136,16,4,5,905,2390,1924,0,0,24,83,28471
137,17,5,5,1049,1799,1632,0,0,25,92,24844
138,18,6,5,755,1470,1125,0,0,0,80,31078
139,19,7,5,1256,1617,1070,1,1,20,89,71586
140,20,1,5,976,2653,2335,1,0,2,63,37003
141,21,2,5,496,1116,793,1,0,26,79,20135
142,22,3,5,423,2571,2242,1,0,3,79,31690
143,23,4,5,726,1310,878,1,0,23,97,23917
144,24,5,5,324,2311,1732,0,0,30,87,22294
145,25,6,5,546,2593,2180,1,0,16,99,38439
146,26,7,5,1250,2074,1591,0,0,17,99,38059
147,27,1,5,1034,1899,1413,0,0,22,64,26459
148,28,2,5,539,1866,1578,0,0,15,68,24163
149,29,3,5,486,2492,2189,0,0,24,88,27058
150,30,4,5,1352,1823,1450,0,0,30,60,27747
151,31,5,5,367,1155,852,0,0,0,67,21982
152,1,6,6,745,1898,1388,1,1,30,62,64180
153,2,7,6,697,2408,2192,0,0,12,62,34661
154,3,1,6,917,2350,1860,0,0,0,97,31145
155,4,2,6,1197,2599,2198,0,0,11,63,33227
156,5,3,6,971,2430,1959,0,0,18,91,29398
157,6,4,6,1299,2382,2141,0,0,5,98,32950
158,7,5,6,1340,1578,1047,0,0,0,97,29026
159,8,6,6,694,2549,2094,0,0,0,68,34793
160,9,7,6,1333,1238,885,0,0,0,60,31930
161,10,1,6,766,2549,2333,0,0,0,97,30235
162,11,2,6,389,1255,906,0,0,8,65,21033
163,12,3,6,560,2277,2078,0,0,24,94,24768
164,13,4,6,1060,2447,1993,0,0,6,66,32683
165,14,5,6,1271,1471,1094,0,0,21,63,25259
166,15,6,6,319,1851,1477,1,1,8,99,63092
167,16,7,6,450,1223,780,0,0,17,97,25308
168,17,1,6,856,1645,1431,0,0,0,91,26974
169,18,2,6,378,1494,1073,0,0,28,94,17802
170,19,3,6,887,1343,931,0,0,4,98,25696
171,20,4,6,662,1964,1804,0,0,1,68,25840
172,21,5,6,1357,2470,2153,0,0,28,78,30425
173,22,6,6,606,1339,986,0,0,16,85,27946
174,23,7,6,721,1904,1454,0,0,13,78,31792
175,24,1,6,331,2658,2169,0,0,12,76,27667
176,25,2,6,1380,1668,1168,0,0,0,85,32016
177,26,3,6,515,1277,728,0,0,3,60,23438
178,27,4,6,350,1852,1383,0,0,0,91,25870
179,28,5,6,406,1546,1061,0,0,11,84,22107
180,29,6,6,1076,1532,1364,0,0,10,68,32751
181,30,7,6,1392,1939,1433,0,0,27,86,34490
182,1,1,7,805,1272,843,0,0,14,89,22409
183,2,2,7,995,2687,2489,0,0,15,99,32488
184,3,3,7,1350,1664,1134,0,0,1,70,30420
185,4,4,7,388,1473,902,0,0,8,86,21571
186,5,5,7,863,2095,1612,1,1,16,96,57793
187,6,6,7,699,1769,1508,0,0,16,86,31506
188,7,7,7,783,1291,1081,0,0,25,70,27509
189,8,1,7,1216,2291,2149,0,0,19,100,31980
190,9,2,7,739,2258,1728,1,0,21,73,31622
191,10,3,7,783,2481,2146,0,0,18,61,29624
192,11,4,7,319,1260,999,0,0,8,91,19031
193,12,5,7,1184,2598,2437,0,0,0,68,33578
194,13,6,7,468,2113,1801,0,0,12,88,32543
195,14,7,7,675,1686,1492,1,0,24,95,32344
196,15,1,7,1058,2113,1746,0,0,0,89,29921
197,16,2,7,915,1171,901,0,0,7,84,24968
198,17,3,7,1208,1742,1305,0,0,0,86,29642
199,18,4,7,712,1273,1160,0,0,6,89,22121
200,19,5,7,595,2652,2492,0,0,20,74,27803
201,20,6,7,337,2590,2306,1,1,27,86,64328
202,21,7,7,443,2349,1874,1,0,16,92,38251
203,22,1,7,427,1402,967,0,0,8,97,20907
204,23,2,7,506,2085,1918,0,0,6,77,25588
205,24,3,7,1235,1355,884,1,0,16,66,30330
206,25,4,7,991,1925,1338,0,0,15,81,28119
207,26,5,7,445,1289,1102,1,0,30,66,23091
208,27,6,7,378,2017,1701,0,0,3,86,31109
209,28,7,7,1007,1862,1580,0,0,20,95,32421
210,29,1,7,1228,2185,1627,0,0,22,81,30149
211,30,2,7,1055,1931,1367,0,0,0,77,29823
212,31,3,7,765,2203,1794,0,0,14,75,29624
213,1,4,8,737,1814,1554,1,0,12,74,28704
214,2,5,8,1215,1383,794,0,0,0,81,28765
215,3,6,8,1032,1998,1814,0,0,16,98,33761
216,4,7,8,510,1947,1445,0,0,1,84,32486
217,5,1,8,1221,1148,966,0,0,0,79,26669
218,6,2,8,1333,1753,1575,0,0,0,60,30082
219,7,3,8,499,1513,1266,0,0,6,68,22340
220,8,4,8,886,1764,1653,0,0,18,88,25202
221,9,5,8,1369,2641,2246,1,1,29,78,60011
222,10,6,8,324,1738,1586,0,0,3,60,30286
223,11,7,8,1291,1627,1173,1,0,20,74,38993
224,12,1,8,807,1611,1170,0,0,30,89,21351
225,13,2,8,923,2232,1987,0,0,0,64,30812
226,14,3,8,1294,2214,1863,0,0,13,94,33456
227,15,4,8,374,1399,910,0,0,1,88,20899
228,16,5,8,983,1526,1144,0,0,0,76,27109
229,17,6,8,1220,2636,2295,0,0,5,71,41654
230,18,7,8,643,1974,1477,0,0,30,66,28445
231,19,1,8,783,1523,1238,0,0,22,97,23721
232,20,2,8,1381,2303,1944,0,0,25,82,31873
233,21,3,8,706,2126,1777,1,1,9,85,46687
234,22,4,8,865,2398,2188,0,0,1,84,31225
235,23,5,8,694,1463,1282,0,0,0,82,23753
236,24,6,8,797,1362,1174,0,0,5,96,30570
237,25,7,8,1306,1977,1411,0,0,0,98,39452
238,26,1,8,1336,2355,2036,0,0,0,88,34747
239,27,2,8,671,1396,886,0,0,25,90,22570
240,28,3,8,326,2523,2227,0,0,9,60,28783
241,29,4,8,624,1255,916,0,0,0,83,23112
242,30,5,8,573,1821,1572,0,0,22,99,26137
243,31,6,8,1381,2350,1795,1,0,7,82,46033
244,1,7,9,453,2404,2126,0,0,0,90,35908
245,2,1,9,832,2027,1807,0,0,18,96,28213
246,3,2,9,570,2179,1609,0,0,12,85,28587
247,4,3,9,500,2449,2271,0,0,10,88,29391
248,5,4,9,545,2578,2300,1,1,5,76,55811
249,6,5,9,414,2659,2172,0,0,12,93,29919
250,7,6,9,1294,1434,1267,1,0,1,90,38064
251,8,7,9,346,2437,2090,1,0,7,72,36977
252,9,1,9,997,1725,1579,0,0,16,100,27983
253,10,2,9,1259,1411,908,0,0,15,78,28426
254,11,3,9,1018,1590,1250,0,0,17,69,25882
255,12,4,9,523,2093,1803,0,0,11,83,26587
256,13,5,9,492,2526,2397,0,0,10,77,30445
257,14,6,9,449,1698,1270,0,0,11,75,28459
258,15,7,9,451,2689,2223,0,0,29,99,31084
259,16,1,9,429,1640,1111,0,0,11,69,24238
260,17,2,9,899,1637,1507,1,0,15,91,29600
261,18,3,9,366,2334,1916,0,0,0,65,28578
262,19,4,9,498,1172,610,1,0,0,68,27426
263,20,5,9,459,1308,710,0,0,27,63,17591
264,21,6,9,682,1719,1458,0,0,0,64,33369
265,22,7,9,781,1676,1400,0,0,0,77,34187
266,23,1,9,426,2591,2237,0,0,0,69,28893
267,24,2,9,1054,1542,1405,0,0,14,82,26633
268,25,3,9,526,1310,1010,0,0,9,82,24462
269,26,4,9,990,2149,1574,0,0,16,74,30855
270,27,5,9,775,2184,1995,0,0,22,67,29243
271,28,6,9,1363,1929,1540,0,0,10,97,38826
272,29,7,9,647,1863,1387,1,1,0,99,75674
273,30,1,9,939,1615,1021,1,1,27,75,34738
274,1,2,10,765,1466,1040,1,0,24,69,28519
275,2,3,10,1352,1846,1646,0,0,0,61,34358
276,3,4,10,509,2518,2008,0,0,22,78,30686
277,4,5,10,892,2301,1710,0,0,26,99,31548
278,5,6,10,796,1703,1345,1,0,7,77,38801
279,6,7,10,1244,1836,1331,0,0,11,85,39592
280,7,1,10,773,2665,2553,0,0,10,78,34669
281,8,2,10,1267,1799,1595,0,0,22,73,31492
282,9,3,10,447,1790,1543,0,0,9,90,28511
283,10,4,10,951,2524,2043,1,0,6,60,39188
284,11,5,10,462,1924,1535,0,0,5,84,29976
285,12,6,10,595,1831,1588,1,1,5,79,69463
286,13,7,10,771,1647,1059,0,0,23,91,35678
287,14,1,10,362,2013,1854,0,0,4,63,27041
288,15,2,10,622,2418,2088,0,0,28,96,28021
289,16,3,10,705,2583,2284,0,0,19,64,32881
290,17,4,10,580,1681,1335,0,0,1,96,26769
291,18,5,10,585,1195,1094,0,0,22,91,21490
292,19,6,10,1044,1821,1685,0,0,3,94,38701
293,20,7,10,801,1612,1463,0,0,23,77,34736
294,21,1,10,769,1990,1867,1,0,14,81,36410
295,22,2,10,492,2044,1505,1,0,3,74,34332
296,23,3,10,359,2597,2206,0,0,10,61,31831
297,24,4,10,590,2168,1748,1,0,16,94,33617
298,25,5,10,322,2232,2039,0,0,20,76,29422
299,26,6,10,859,1919,1706,0,0,30,99,35895
300,27,7,10,613,1405,1054,0,0,25,82,31607
301,28,1,10,1380,2257,2100,0,0,6,100,39622
302,29,2,10,1140,2403,2209,0,0,23,98,33855
303,30,3,10,997,1475,1177,0,0,14,84,30313
304,31,4,10,374,1958,1439,0,0,22,75,28629
305,1,5,11,304,1633,1477,1,1,29,96,51687
306,2,6,11,774,1409,1306,0,0,0,89,35574
307,3,7,11,454,2577,2310,0,0,4,95,37777
308,4,1,11,729,1995,1446,0,0,11,83,29694
309,5,2,11,1034,1277,917,0,0,12,86,29777
310,6,3,11,896,2329,1847,1,1,0,93,52413
311,7,4,11,770,2295,1810,0,0,0,84,31820
312,8,5,11,843,2406,1932,0,0,30,87,29287
313,9,6,11,864,1331,1015,0,0,0,99,33051
314,10,7,11,657,1680,1206,1,0,0,67,41185
315,11,1,11,513,2699,2517,0,0,22,75,29995
316,12,2,11,1120,2235,2125,0,0,18,68,33809
317,13,3,11,865,1583,1301,0,0,26,82,26103
318,14,4,11,584,1105,825,0,0,4,66,23319
319,15,5,11,1382,1487,1037,0,0,6,99,32013
320,16,6,11,464,2639,2442,0,0,0,74,39386
321,17,7,11,928,1246,723,0,0,19,81,32766
322,18,1,11,797,2079,1926,0,0,22,71,28834
323,19,2,11,1133,1635,1243,0,0,0,86,32545
324,20,3,11,1211,2509,2340,0,0,30,67,32174
325,21,4,11,602,1215,1033,0,0,14,70,23391
326,22,5,11,386,1460,998,0,0,5,86,24700
327,23,6,11,452,2106,1986,0,0,22,99,34075
328,24,7,11,608,1712,1341,0,0,0,91,35920
329,25,1,11,484,2559,2379,0,0,20,95,32029
330,26,2,11,690,2326,2199,0,0,1,86,32848
331,27,3,11,1312,2664,2467,1,0,15,68,45164
332,28,4,11,440,2671,2386,0,0,14,94,34988
333,29,5,11,1309,2459,2216,1,1,16,97,66241
334,30,6,11,817,2525,2173,0,0,17,89,44978
335,1,7,12,1114,2349,1981,0,0,19,64,41529
336,2,1,12,819,1620,1242,0,0,0,96,30333
337,3,2,12,356,1670,1113,0,0,16,62,24280
